id,channelNum,display-name,url
1252.stations.xmltv.tvmedia.ca,42,TV Land - Eastern,
177.stations.xmltv.tvmedia.ca,43,AMC - Eastern Feed,
1076.stations.xmltv.tvmedia.ca,44,CMT US - Eastern Feed,
617.stations.xmltv.tvmedia.ca,45,E! Entertainment USA - Eastern Feed,www.eonline.com
647.stations.xmltv.tvmedia.ca,46,Comedy Central (US) - Eastern Feed,www.comedycentral.com
1052.stations.xmltv.tvmedia.ca,47,Hallmark - Eastern Feed,
1083.stations.xmltv.tvmedia.ca,48,Fox News,
1054.stations.xmltv.tvmedia.ca,49,Food Network USA - Eastern Feed,
668.stations.xmltv.tvmedia.ca,50,Fox Sports 1,www.foxsports.com
1052.stations.xmltv.tvmedia.ca,51-1,Hallmark - Eastern Feed,
1333.stations.xmltv.tvmedia.ca,51-3,Lifetime Movies - East,www.mylifetime.com/lmn
1011.stations.xmltv.tvmedia.ca,51-5,Freeform - East Feed,www.freeform.go.com
647.stations.xmltv.tvmedia.ca,51-7,Comedy Central (US) - Eastern Feed,www.comedycentral.com
649.stations.xmltv.tvmedia.ca,51-11,Discovery Channel (US) - Eastern Feed,
1083.stations.xmltv.tvmedia.ca,51-13,Fox News,
5005.stations.xmltv.tvmedia.ca,51-19,TLC USA - Eastern,
664.stations.xmltv.tvmedia.ca,51-21,WE (Women's Entertainment) - Eastern,
4499.stations.xmltv.tvmedia.ca,51-25,Big Ten Network,
652.stations.xmltv.tvmedia.ca,52-1,FX Networks East Coast,
617.stations.xmltv.tvmedia.ca,52-5,E! Entertainment USA - Eastern Feed,www.eonline.com
668.stations.xmltv.tvmedia.ca,52-9,Fox Sports 1,www.foxsports.com
1305.stations.xmltv.tvmedia.ca,52-11,Univision - Eastern Feed,www.univision.com
323.stations.xmltv.tvmedia.ca,52-13,BET - Eastern Feed,
646.stations.xmltv.tvmedia.ca,52-15,Bravo USA - Eastern Feed,
201.stations.xmltv.tvmedia.ca,52-17,CNBC USA,
645.stations.xmltv.tvmedia.ca,52-19,Animal Planet US - East,
640.stations.xmltv.tvmedia.ca,52-21,USA Network - East Feed,
662.stations.xmltv.tvmedia.ca,52-23,Travel US - East,
65.stations.xmltv.tvmedia.ca,53,NewsNation - Eastern Feed,www.wgntv.com/
70.stations.xmltv.tvmedia.ca,53-1,CNN,
425.stations.xmltv.tvmedia.ca,53-3,HLN,Turner.com
661.stations.xmltv.tvmedia.ca,53-5,Cartoon Network USA - Eastern Feed,
61.stations.xmltv.tvmedia.ca,53-7,TBS - East,
347.stations.xmltv.tvmedia.ca,53-9,TNT - Eastern Feed,
1030.stations.xmltv.tvmedia.ca,53-11,Paramount Network USA - Eastern Feed,www.spiketv.com
1252.stations.xmltv.tvmedia.ca,53-13,TV Land - Eastern,
1076.stations.xmltv.tvmedia.ca,53-15,CMT US - Eastern Feed,
656.stations.xmltv.tvmedia.ca,53-17,MTV USA - Eastern Feed,
658.stations.xmltv.tvmedia.ca,53-19,Nickelodeon USA - East Feed,
655.stations.xmltv.tvmedia.ca,53-21,MSNBC USA,
333.stations.xmltv.tvmedia.ca,53-23,truTV USA - Eastern,www.trutv.com
1054.stations.xmltv.tvmedia.ca,54-1,Food Network USA - Eastern Feed,
623.stations.xmltv.tvmedia.ca,54-3,HGTV USA - Eastern Feed,
595.stations.xmltv.tvmedia.ca,54-7,Disney - Eastern Feed,www.disneychannel.com
2.stations.xmltv.tvmedia.ca,54-11,A&E US - Eastern Feed,www.AETV.com
621.stations.xmltv.tvmedia.ca,54-13,History Channel US - Eastern Feed,www.HistoryChannel.com
663.stations.xmltv.tvmedia.ca,54-15,VH1 - Eastern Feed,
654.stations.xmltv.tvmedia.ca,54-17,Lifetime Network US - Eastern Feed,
596.stations.xmltv.tvmedia.ca,54-21,Syfy - Eastern Feed,
177.stations.xmltv.tvmedia.ca,54-23,AMC - Eastern Feed,
65.stations.xmltv.tvmedia.ca,54-25,NewsNation - Eastern Feed,www.wgntv.com/
594.stations.xmltv.tvmedia.ca,55-5,ESPN,
650.stations.xmltv.tvmedia.ca,55-13,ESPN2,
4020.stations.xmltv.tvmedia.ca,55-15,NBC Sports Chicago,
1526.stations.xmltv.tvmedia.ca,55-25,The Weather Channel,www.weather.com
655.stations.xmltv.tvmedia.ca,57,MSNBC USA,
323.stations.xmltv.tvmedia.ca,58,BET - Eastern Feed,
1333.stations.xmltv.tvmedia.ca,59,Lifetime Movies - East,www.mylifetime.com/lmn
646.stations.xmltv.tvmedia.ca,60,Bravo USA - Eastern Feed,
333.stations.xmltv.tvmedia.ca,61,truTV USA - Eastern,www.trutv.com
652.stations.xmltv.tvmedia.ca,62,FX Networks East Coast,
5005.stations.xmltv.tvmedia.ca,63,TLC USA - Eastern,
201.stations.xmltv.tvmedia.ca,64,CNBC USA,
662.stations.xmltv.tvmedia.ca,65,Travel US - East,
1011.stations.xmltv.tvmedia.ca,66,Freeform - East Feed,www.freeform.go.com
4499.stations.xmltv.tvmedia.ca,67,Big Ten Network,
17744.stations.xmltv.tvmedia.ca,68,"CW (Week-TV3) Peoria, IL",www.week.com
1523.stations.xmltv.tvmedia.ca,71,SHOPHQ,www.vvtv.com
1305.stations.xmltv.tvmedia.ca,78,Univision - Eastern Feed,www.univision.com
14683.stations.xmltv.tvmedia.ca,81-1,QVC,
14985.stations.xmltv.tvmedia.ca,81-3,HSN  - Home Shopping Network,www.hsn.com
648.stations.xmltv.tvmedia.ca,81-5,C-SPAN,www.c-span.org
1050.stations.xmltv.tvmedia.ca,81-7,C-SPAN 2,www.c-span.org
